Left Lane Curve Radius, Right Lane Curve Radius, Car Distance from Center of Lane
1909.97850566,997.766205824,0.333036814556
1016.94780773,8536.76481222,0.244180256468
876.110691757,10160.2802209,0.329755157155
933.799270517,1583.03098749,0.168382718881
804.701612688,843.827311296,0.0985124926241
95040.7171905,1169.96809039,0.521503957687
1597.45643225,663.390419135,0.774381894576
834.269169067,424.777020506,1.07472275334
657.343516305,566.560246023,1.01659871021
666.739491021,469.853622152,1.05655554164
750.724043246,12693.5882196,0.611889040868
956.798113865,827.142330693,0.79033533589
880.241446395,255.551077103,1.22768245368
761.368450524,249.103923254,1.24142655262
832.90283682,171.980025671,0.823097214293
948.954123091,157.591389189,0.670277952287
882.734183029,146.901586996,0.612031739087
1039.61151851,152.005400569,0.585503214103
1033.17860489,149.963371812,0.576526602284
781.639183275,206.685300482,1.10434610712
1008.37449826,284.250090566,1.24714631622
1082.65663662,226.044898241,1.10727094961
1386.32884127,1346.57931395,0.608181470048
1175.71189726,174.816799632,0.790269828831
1276.46550069,253.149050327,1.13010433928
997.931260825,304.209817286,1.21403077833
1101.13446853,1122.92025947,0.678129802235
1396.99525216,1037.35773725,0.649019097601
1507.78244416,1051.47440722,0.635336671898
1679.77130314,1643.54854701,0.563725478877
1750.62935864,3525.54098965,0.401972421505
2048.98751722,6281.51432195,0.473377335221
2073.16715095,1345.50721435,0.584658875782
1381.24523597,3636.95101338,0.529508393499
1644.40516645,1317.54719925,0.289371116473
1258.5484556,779.018015909,0.201507966939
902.257096598,550.318912608,0.134384788415
786.197922395,490.610582907,0.113013270092
885.984618508,390.06806816,0.0114116322615
948.130324798,355.321849627,0.0367784150654
860.002545085,362.840458915,0.00318341981615
798.635862702,307.753346728,0.0610592208025
964.695450922,260.15412132,0.203982865722
1325.51163241,431.524128196,0.0579924526065
2878.73872706,470.664252972,0.0391467988416
137030.389904,461.497362045,0.0332091662164
10371.4169376,557.896909371,0.00244760713126
3904.01170151,874.343754921,0.0845533824455
2646.43827959,2538.00252237,0.182391364136
2980.12863049,13663.410166,0.234779463081
4554.05779229,3241.0426782,0.318334625283
5289.12753071,4822.99208647,0.311487527892
20453.5372083,1793.62224941,0.213197492154
4852.84311514,360.512363503,0.149547691678
2360.04779489,251.63894551,0.343558913283
1128.02021548,217.986663572,0.377182102994
826.046346751,215.323254957,0.360859437784
734.033765844,210.582786106,0.381585708628
580.883550493,228.689335793,0.240938914375
520.911152453,256.592841895,0.120425398071
526.181725967,400.528087544,0.132385347742
488.148183538,605.636349371,0.33831307862
496.609165894,1193.0947495,0.493026530785
458.645250125,18163.7055913,0.727443527472
520.646232343,1685.50580622,0.796220586172
690.324424406,2124.33408385,0.496647897042
722.319084346,1857.54651491,0.632053006737
685.857029965,2072.90107405,0.609089692002
636.319321544,899.741774479,0.751524820236
528.746468319,753.804239818,0.880384781442
511.20685531,839.109319624,0.868593884559
465.496839757,592.390426161,1.00193429359
465.064011696,627.61258225,1.01592121512
459.068682126,510.90135768,1.07299111112
536.287980044,777.509753776,0.912348808403
606.516007053,1234.40585769,0.793270587038
614.889863284,1399.37391962,0.764506020813
623.869226769,3624.53908069,0.668820615811
640.915466363,1886.72463859,0.714426744513
608.268902922,4373.9096689,0.69464471769
598.073063614,1048.42454339,0.841492671407
592.938539818,1626.18027939,0.782358366941
532.455673243,14538.1888083,0.738241646431
443.788394516,159041.634128,0.77323080369
425.228674126,2832.82786177,0.830269762561
404.678808314,3309.6570924,0.733260444423
458.542706951,637.538851395,0.449497526391
578.474526028,563.853565193,0.316480085934
986.852242736,563.548476942,0.162464966187
1974.06244315,684.241029595,0.11480313423
12295.4261807,850.798364726,0.0711469948841
11886.6452457,1302.49232978,0.115892542991
5754.26810754,1793.01552176,0.142528710709
6720.82236076,1354.68755597,0.10232479506
8256.81842983,1972.53845478,0.159070117333
7043.02111892,4191.38586002,0.201253443707
4051.41520093,2066.55336473,0.146982094949
2370.5595863,2704.11013557,0.135401877086
