Left Lane Curve Radius, Right Lane Curve Radius, Car Distance from Center of Lane
2308.67741486,1650.82542767,0.0866516323956
1567.01902935,1513.53595881,0.0747819102739
1657.54738239,1418.41504964,0.0898226175478
1597.5121801,1166.01556861,0.119320264213
1714.10503795,1040.21957098,0.158196144712
1874.01736459,1200.63942882,0.0790126380856
1825.04440627,1272.54404436,0.0870502026372
1861.0073407,1531.0123137,0.0749304201301
1853.33654474,1467.08726767,0.00369471170598
2082.40096982,1745.68892677,0.00471501033564
2481.58194913,1955.7460299,0.0300092560418
2366.98024982,2267.2246852,0.0446665396399
2160.32799549,2128.03426654,0.0637291395331
1945.97266807,1855.48904663,0.0734562115054
1940.16392868,2101.19000292,0.0516344517792
1841.54273819,1659.84431238,0.0683888289065
1700.2219749,6538.83113281,0.069182488314
2156.90453177,22134.9705024,0.0311357640174
2073.03744254,2198.34729719,0.0238263985393
1995.2631982,2094.14110086,0.0378855122278
2161.36943013,1778.97371502,0.0708532217595
3112.50739196,1792.68839034,0.0472398264242
3351.5597751,2450.27232031,0.0462109068738
5063.69695334,2553.20715221,0.0860730086815
2838.58142976,2356.98656696,0.0735905402342
2523.4964451,2054.64521923,0.0836610547368
2395.27213621,2483.15932726,0.0562304007772
2315.71993977,3107.11736366,0.0299739951767
2355.14863076,8727.83173496,0.067696538769
2993.01097965,4544.61488449,0.0652742230818
2719.21195247,2879.03022533,0.0244075723966
2884.94929383,2731.69788265,0.0399376399503
5397.14088454,2455.36505969,0.0911107134876
6163.13203974,1722.98615418,0.0673641330574
15193.9558994,2109.13767669,0.0904779855701
6314.60326452,1999.23144299,0.101634643431
3884.42974057,2300.00932906,0.0915656313719
3438.11299511,2417.84538401,0.0927706050831
4265.52138702,2633.92454141,0.0989654245619
2294.29518054,2049.07067163,0.0814305551911
2044.40672467,3334.00094979,0.0265473223139
2317.86853309,6179.65806192,0.0598050977369
2956.42540785,22878.8291308,0.00689051348149
3620.58309406,4445.97404744,0.0498191145077
5344.89896347,4404.22301899,0.0764929823279
18807.8578442,3511.91440234,0.0537779871214
62278.8602604,5689.33722517,0.049162219149
22418.5308627,5999.28517553,0.0692828821085
7610.36573383,5026.0091605,0.0475227994974
9720.2594298,7780.909365,0.0387967608593
58504.1285589,14747.6637201,0.0118272312106
22595.5415373,57801.5866536,0.0265691815928
5453.91834928,2007.06841843,0.0924248529757
9010.67690164,891.839178363,0.178347459989
12067.2848428,6864.59699604,0.0132894399654
11403.9385967,7515.48937536,0.0271656043732
89730.3439106,33028.2513814,0.00703663173706
14008.559799,3259.4340374,0.0423881998587
7327.10362417,6972.556792,0.0393178370614
4354.62012506,19561.559528,0.0621513035142
11987.1591512,6658.28648019,0.0607834765806
9973.43266598,4168.46631657,0.0861341408988
16956.9002073,3879.02836187,0.090237355931
10485.881661,2987.85772766,0.117319240773
26310.6011328,8388.09185695,0.0598325485176
24106.8766076,13062.7533431,0.0566797630567
5123.7396324,142835.222263,0.0804864109192
4512.08731487,6178.87592329,0.107741829594
5101.77842807,6850.77261588,0.101680665418
3941.10519126,6328.99073822,0.0786796017502
3659.94334769,10636.2031279,0.0839955995941
3119.193072,10755.8667688,0.11583685878
6234.83383227,8808.88802128,0.102525730313
134617.787157,10466.1421777,0.0680953479058
26249.6474192,57612.4492059,0.037806685845
7158.36305921,7047.98905281,0.0448952775777
6199.74411812,1077.05013844,0.116892290897
5581.0292714,1238.99255528,0.134841921733
7267.35629823,6318.16598258,0.0244710954027
15695.8441105,8191.53318049,0.000222606354238
78218.1167737,13792.7064761,0.015492749229
9490.26786153,11138.4235003,0.042573032767
3851.11695504,11014.6869916,0.0477470576806
2997.45480823,89948.5750985,0.08819988746
2686.14466316,17482.3480416,0.111466480219
2462.18312691,11296.255272,0.134371486818
3362.70986677,6083.62449545,0.0623265742004
3429.89390266,4425.84993667,0.0494888729013
6930.806852,890.774985198,0.0957118997843
10277.4800363,653.628544318,0.137507906247
12133.4144106,858.780468901,0.100285785683
153538.176025,4070.45803574,0.0234419113405
7370.28702449,6505.63761534,0.000281463855201
3969.23192488,5681.00730292,0.000439300520871
3274.06967336,11056.220331,0.0266769447831
3456.18213167,6625.24347351,0.00434623689281
2546.96200585,7719.52851499,0.0202604125336
2513.53055648,3110.04921162,0.00834737585528
3289.56169061,3708.98886808,0.013969382722
4524.9553309,2027.5544814,0.0688209351412
6509.38258322,1533.01439244,0.106580356029
28393.4677436,1282.95810591,0.099087622248
6998.95652431,71003.2708252,0.0359541101912
4049.11806679,128057.710899,0.0615188082653
2002.82001249,22922.3885843,0.119384990712
2071.75700853,6689.42646633,0.116913597352
1521.39567851,8419.74327832,0.153208735978
